model,strain,stress_mpa
steel_compression_no_buckling,0.0,0.0
steel_compression_no_buckling,0.0002,40.0
steel_compression_no_buckling,0.0004,80.0
steel_compression_no_buckling,0.0006000000000000001,120.00000000000001
steel_compression_no_buckling,0.0008,160.0
steel_compression_no_buckling,0.001,200.0
steel_compression_no_buckling,0.0012000000000000001,240.00000000000003
steel_compression_no_buckling,0.0014,280.0
steel_compression_no_buckling,0.0016,320.0
steel_compression_no_buckling,0.0018000000000000002,360.00000000000006
steel_compression_no_buckling,0.002,400.0
steel_compression_no_buckling,0.0022,440.0
steel_compression_no_buckling,0.0024000000000000002,470.3
steel_compression_no_buckling,0.0026000000000000003,470.33263157894737
steel_compression_no_buckling,0.0028,470.36526315789473
steel_compression_no_buckling,0.003,470.3978947368421
steel_compression_no_buckling,0.0032,470.4305263157895
steel_compression_no_buckling,0.0034000000000000002,470.46315789473687
steel_compression_no_buckling,0.0036000000000000003,470.4957894736842
steel_compression_no_buckling,0.0038,470.5284210526316
steel_compression_no_buckling,0.004,470.56105263157895
steel_compression_no_buckling,0.004200000000000001,470.5936842105263
steel_compression_no_buckling,0.0044,470.6263157894737
steel_compression_no_buckling,0.0046,470.6589473684211
steel_compression_no_buckling,0.0048000000000000004,470.69157894736844
steel_compression_no_buckling,0.005,470.7242105263158
steel_compression_no_buckling,0.005200000000000001,470.75684210526316
steel_compression_no_buckling,0.0054,470.7894736842105
steel_compression_no_buckling,0.0056,470.82210526315794
steel_compression_no_buckling,0.0058000000000000005,470.8547368421053
steel_compression_no_buckling,0.006,470.88736842105266
steel_compression_no_buckling,0.006200000000000001,470.92
steel_compression_no_buckling,0.0064,470.9526315789474
steel_compression_no_buckling,0.0066,470.98526315789474
steel_compression_no_buckling,0.0068000000000000005,471.0178947368421
steel_compression_no_buckling,0.007,471.0505263157895
steel_compression_no_buckling,0.007200000000000001,471.08315789473687
steel_compression_no_buckling,0.0074,471.11578947368423
steel_compression_no_buckling,0.0076,471.1484210526316
steel_compression_no_buckling,0.0078000000000000005,471.18105263157895
steel_compression_no_buckling,0.008,471.2136842105263
steel_compression_no_buckling,0.0082,471.2463157894737
steel_compression_no_buckling,0.008400000000000001,471.2789473684211
steel_compression_no_buckling,0.0086,471.31157894736845
steel_compression_no_buckling,0.0088,471.3442105263158
steel_compression_no_buckling,0.009000000000000001,471.37684210526317
steel_compression_no_buckling,0.0092,471.4094736842105
steel_compression_no_buckling,0.0094,471.44210526315794
steel_compression_no_buckling,0.009600000000000001,471.4747368421053
steel_compression_no_buckling,0.0098,471.50736842105266
steel_compression_no_buckling,0.01,471.54
steel_compression_no_buckling,0.0102,471.5726315789474
steel_compression_no_buckling,0.010400000000000001,471.60526315789474
steel_compression_no_buckling,0.0106,471.6378947368421
steel_compression_no_buckling,0.0108,471.6705263157895
steel_compression_no_buckling,0.011000000000000001,471.7031578947369
steel_compression_no_buckling,0.0112,471.73578947368424
steel_compression_no_buckling,0.0114,471.7684210526316
steel_compression_no_buckling,0.011600000000000001,471.80105263157895
steel_compression_no_buckling,0.0118,471.8336842105263
steel_compression_no_buckling,0.012,471.86631578947373
steel_compression_no_buckling,0.0122,471.8989473684211
steel_compression_no_buckling,0.012400000000000001,471.93157894736845
steel_compression_no_buckling,0.0126,471.9642105263158
steel_compression_no_buckling,0.0128,471.99684210526317
steel_compression_no_buckling,0.013000000000000001,472.02947368421053
steel_compression_no_buckling,0.0132,472.06210526315795
steel_compression_no_buckling,0.0134,472.0947368421053
steel_compression_no_buckling,0.013600000000000001,472.12736842105267
steel_compression_no_buckling,0.013800000000000002,470.3000000000001
steel_compression_no_buckling,0.014,472.0612074689669
steel_compression_no_buckling,0.0142,473.81131178221096
steel_compression_no_buckling,0.014400000000000001,475.5503495080237
steel_compression_no_buckling,0.0146,477.2783572050284
steel_compression_no_buckling,0.0148,478.99537142215195
steel_compression_no_buckling,0.015000000000000001,480.701428698599
steel_compression_no_buckling,0.0152,482.396565563824
steel_compression_no_buckling,0.0154,484.080818537504
steel_compression_no_buckling,0.015600000000000001,485.7542241295112
steel_compression_no_buckling,0.0158,487.4168188398851
steel_compression_no_buckling,0.016,489.06863915880484
steel_compression_no_buckling,0.0162,490.7097215665609
steel_compression_no_buckling,0.0164,492.3401025335269
steel_compression_no_buckling,0.0166,493.9598185201315
steel_compression_no_buckling,0.016800000000000002,495.56890597682946
steel_compression_no_buckling,0.017,497.1674013440735
steel_compression_no_buckling,0.0172,498.7553410522846
steel_compression_no_buckling,0.017400000000000002,500.3327615218236
steel_compression_no_buckling,0.0176,501.8996991629618
steel_compression_no_buckling,0.0178,503.45619037585107
steel_compression_no_buckling,0.018000000000000002,505.00227155049515
steel_compression_no_buckling,0.0182,506.5379790667189
steel_compression_no_buckling,0.0184,508.0633492941389
steel_compression_no_buckling,0.018600000000000002,509.5784185921333
steel_compression_no_buckling,0.0188,511.08322330981093
steel_compression_no_buckling,0.019,512.5777997859816
steel_compression_no_buckling,0.019200000000000002,514.0621843491247
