curve_id,curve_name,Ke,My,phi_y,Kp,alpha,Mu,phi_u,signed_My,signed_phi_y,signed_Mu,signed_phi_u,M_60My,phi_60My,M_peak,phi_peak,A_real,A_bilinear,relative_error,absolute_relative_error,ductility_phi,status
positive_bending,V2 (D-C y B-A)T,73960.93956999943,528.9248290158032,0.007151407649644698,389.6269992791432,0.00526801040582219,585.405,0.152111,528.9248290158032,0.007151407649644698,585.405,0.152111,317.3548974094819,0.004290844589786819,588.787,0.103894,82.6575182835,82.6576774131413,1.9251683888953603e-06,1.9251683888953603e-06,21.27007820726837,converged
negative_bending,V2 (D-C y B-A)T-INV,76235.30523115279,537.3256503700741,0.007048252102367151,232.0185909161087,0.0030434532951971005,553.801,0.078057,-537.3256503700741,-0.007048252102367151,-553.801,-0.078057,322.39539022204445,0.004228951261420291,556.138,0.048466999999999996,40.63399613500001,40.633371942696925,-1.536133195002174e-05,1.536133195002174e-05,11.074660620295436,converged
