model,strain,stress_mpa
mander_classic_unconfined_concrete,-0.00013191489361702127,-3.2807316257200925
mander_classic_unconfined_concrete,-0.00012853246044735404,-3.1966103019836796
mander_classic_unconfined_concrete,-0.00012515002727768684,-3.112488978247267
mander_classic_unconfined_concrete,-0.00012176759410801963,-3.0283676545108547
mander_classic_unconfined_concrete,-0.00011838516093835242,-2.944246330774442
mander_classic_unconfined_concrete,-0.00011500272776868521,-2.8601250070380293
mander_classic_unconfined_concrete,-0.000111620294599018,-2.776003683301617
mander_classic_unconfined_concrete,-0.00010823786142935078,-2.691882359565204
mander_classic_unconfined_concrete,-0.00010485542825968357,-2.6077610358287915
mander_classic_unconfined_concrete,-0.00010147299509001636,-2.523639712092379
mander_classic_unconfined_concrete,-9.809056192034915e-05,-2.439518388355966
mander_classic_unconfined_concrete,-9.470812875068192e-05,-2.3553970646195532
mander_classic_unconfined_concrete,-9.132569558101473e-05,-2.271275740883141
mander_classic_unconfined_concrete,-8.79432624113475e-05,-2.187154417146728
mander_classic_unconfined_concrete,-8.45608292416803e-05,-2.103033093410316
mander_classic_unconfined_concrete,-8.117839607201308e-05,-2.018911769673903
mander_classic_unconfined_concrete,-7.779596290234588e-05,-1.9347904459374905
mander_classic_unconfined_concrete,-7.441352973267866e-05,-1.8506691222010776
mander_classic_unconfined_concrete,-7.103109656301146e-05,-1.7665477984646654
mander_classic_unconfined_concrete,-6.764866339334423e-05,-1.6824264747282525
mander_classic_unconfined_concrete,-6.426623022367702e-05,-1.5983051509918398
mander_classic_unconfined_concrete,-6.088379705400981e-05,-1.514183827255427
mander_classic_unconfined_concrete,-5.75013638843426e-05,-1.4300625035190144
mander_classic_unconfined_concrete,-5.4118930714675386e-05,-1.345941179782602
mander_classic_unconfined_concrete,-5.0736497545008174e-05,-1.2618198560461893
mander_classic_unconfined_concrete,-4.735406437534096e-05,-1.1776985323097766
mander_classic_unconfined_concrete,-4.397163120567375e-05,-1.093577208573364
mander_classic_unconfined_concrete,-4.058919803600654e-05,-1.0094558848369515
mander_classic_unconfined_concrete,-3.720676486633933e-05,-0.9253345611005388
mander_classic_unconfined_concrete,-3.3824331696672116e-05,-0.8412132373641262
