model,max_stress_mpa,strain_at_max_stress,ultimate_strain,initial_stiffness_mpa,strain_ductility,toughness_mpa,relative_energy
mander_classic_unconfined_concrete,28.0,0.002,0.005,24869.88738722852,2.5,0.0976307330990778,0.0014470415164442843
mander_classic_confined_concrete,36.34184790512492,0.004963205338955695,0.01821359757414934,24792.40521483598,3.669724770642202,0.5669441553743041,0.008403006966049363
mander_adjusted_confined_concrete,38.02184592450659,0.005574211051453241,0.009822398328551966,24832.709347551783,1.7621145374449338,0.3235120512688926,0.0047949590707371354
attard_setunge_unconfined_concrete,28.0,0.002,0.005,28682.650886009757,2.5,0.10205498376419464,0.00151261589234376
attard_setunge_confined_concrete,73.1782223644054,0.004453210892435743,0.010356304401013358,28455.534685380815,2.3255813953488373,0.45500931512163595,0.0067439560110821965
steel_tension_mander,659.74,0.1141,0.1141,200000.0,1.0,67.4691997358715,1.0
steel_compression_no_buckling,659.74,0.08,0.08,200000.0,1.0,46.553132261182746,0.6899908764803644
steel_compression_with_buckling,440.0,0.0022,0.08,200000.0,36.36363636363636,23.949478717753173,0.3549690645733256
welded_wire_mesh,681.0,0.00341825,0.0113,200000.0,3.3057851239669422,6.535877624990278,0.09687201938924635
