period_s,Sa_servicio_31,Sa_diseno_475,Sa_maximo_considerado_2500
0.0,0.14087499999999997,0.40249999999999997,0.60375
0.01,0.15755211397058821,0.4501488970588235,0.6752233455882353
0.02,0.17422922794117643,0.49779779411764696,0.7466966911764704
0.03,0.19090634191176467,0.5454466911764705,0.8181700367647058
0.04,0.20758345588235289,0.593095588235294,0.8896433823529409
0.05,0.22426056985294113,0.6407444852941175,0.9611167279411763
0.06,0.24093768382352934,0.688393382352941,1.0325900735294116
0.07,0.2576147977941176,0.7360422794117646,1.1040634191176468
0.08,0.27429191176470585,0.7836911764705882,1.1755367647058823
0.09,0.29096902573529404,0.8313400735294115,1.2470101102941173
0.1,0.3076461397058823,0.8789889705882351,1.3184834558823526
0.11,0.32432325367647047,0.9266378676470586,1.3899568014705879
0.12,0.3410003676470587,0.974286764705882,1.4614301470588231
0.13,0.35218749999999993,1.0062499999999999,1.509375
0.14,0.35218749999999993,1.0062499999999999,1.509375
0.15,0.35218749999999993,1.0062499999999999,1.509375
0.16,0.35218749999999993,1.0062499999999999,1.509375
0.17,0.35218749999999993,1.0062499999999999,1.509375
0.18,0.35218749999999993,1.0062499999999999,1.509375
0.19,0.35218749999999993,1.0062499999999999,1.509375
0.2,0.35218749999999993,1.0062499999999999,1.509375
0.21,0.35218749999999993,1.0062499999999999,1.509375
0.22,0.35218749999999993,1.0062499999999999,1.509375
0.23,0.35218749999999993,1.0062499999999999,1.509375
0.24,0.35218749999999993,1.0062499999999999,1.509375
0.25,0.35218749999999993,1.0062499999999999,1.509375
0.26,0.35218749999999993,1.0062499999999999,1.509375
0.27,0.35218749999999993,1.0062499999999999,1.509375
0.28,0.35218749999999993,1.0062499999999999,1.509375
0.29,0.35218749999999993,1.0062499999999999,1.509375
0.3,0.35218749999999993,1.0062499999999999,1.509375
0.31,0.35218749999999993,1.0062499999999999,1.509375
0.32,0.35218749999999993,1.0062499999999999,1.509375
0.33,0.35218749999999993,1.0062499999999999,1.509375
0.34,0.35218749999999993,1.0062499999999999,1.509375
0.35,0.35218749999999993,1.0062499999999999,1.509375
0.36,0.35218749999999993,1.0062499999999999,1.509375
0.37,0.35218749999999993,1.0062499999999999,1.509375
0.38,0.35218749999999993,1.0062499999999999,1.509375
0.39,0.35218749999999993,1.0062499999999999,1.509375
0.4,0.35218749999999993,1.0062499999999999,1.509375
0.41,0.35218749999999993,1.0062499999999999,1.509375
0.42,0.35218749999999993,1.0062499999999999,1.509375
0.43,0.35218749999999993,1.0062499999999999,1.509375
0.44,0.35218749999999993,1.0062499999999999,1.509375
0.45,0.35218749999999993,1.0062499999999999,1.509375
0.46,0.35218749999999993,1.0062499999999999,1.509375
0.47,0.35218749999999993,1.0062499999999999,1.509375
0.48,0.35218749999999993,1.0062499999999999,1.509375
0.49,0.35218749999999993,1.0062499999999999,1.509375
0.5,0.35218749999999993,1.0062499999999999,1.509375
0.51,0.35218749999999993,1.0062499999999999,1.509375
0.52,0.35218749999999993,1.0062499999999999,1.509375
0.53,0.35218749999999993,1.0062499999999999,1.509375
0.54,0.35218749999999993,1.0062499999999999,1.509375
0.55,0.35218749999999993,1.0062499999999999,1.509375
0.56,0.35218749999999993,1.0062499999999999,1.509375
0.57,0.35218749999999993,1.0062499999999999,1.509375
0.58,0.35218749999999993,1.0062499999999999,1.509375
0.59,0.35218749999999993,1.0062499999999999,1.509375
0.6,0.35218749999999993,1.0062499999999999,1.509375
0.61,0.3511475409836065,1.0032786885245901,1.5049180327868852
0.62,0.3454838709677419,0.9870967741935484,1.4806451612903224
0.63,0.33999999999999997,0.9714285714285714,1.457142857142857
0.64,0.33468749999999997,0.9562499999999999,1.434375
0.65,0.3295384615384615,0.9415384615384614,1.4123076923076923
0.66,0.3245454545454545,0.9272727272727272,1.3909090909090909
0.67,0.3197014925373134,0.9134328358208954,1.370149253731343
0.68,0.31499999999999995,0.8999999999999999,1.3499999999999999
0.69,0.31043478260869567,0.8869565217391305,1.3304347826086957
0.7,0.306,0.8742857142857143,1.3114285714285714
0.71,0.30169014084507045,0.8619718309859156,1.2929577464788733
0.72,0.2975,0.85,1.275
0.73,0.29342465753424657,0.8383561643835616,1.2575342465753425
0.74,0.28945945945945944,0.827027027027027,1.2405405405405405
0.75,0.28559999999999997,0.816,1.224
0.76,0.28184210526315784,0.8052631578947368,1.2078947368421051
0.77,0.27818181818181814,0.7948051948051947,1.192207792207792
0.78,0.2746153846153846,0.7846153846153846,1.176923076923077
0.79,0.27113924050632904,0.7746835443037974,1.1620253164556962
0.8,0.26774999999999993,0.7649999999999999,1.1475
0.81,0.2644444444444444,0.7555555555555555,1.1333333333333333
0.82,0.26121951219512196,0.7463414634146341,1.1195121951219513
0.83,0.2580722891566265,0.7373493975903614,1.106024096385542
0.84,0.25499999999999995,0.7285714285714285,1.0928571428571427
0.85,0.252,0.72,1.08
0.86,0.24906976744186043,0.7116279069767442,1.0674418604651161
0.87,0.24620689655172412,0.7034482758620689,1.0551724137931033
0.88,0.24340909090909088,0.6954545454545454,1.0431818181818182
0.89,0.24067415730337077,0.6876404494382022,1.0314606741573034
0.9,0.23799999999999996,0.6799999999999999,1.02
0.91,0.23538461538461536,0.6725274725274725,1.0087912087912088
0.92,0.2328260869565217,0.6652173913043478,0.9978260869565216
0.93,0.23032258064516123,0.6580645161290322,0.9870967741935482
0.94,0.22787234042553192,0.6510638297872341,0.9765957446808511
0.95,0.2254736842105263,0.6442105263157895,0.9663157894736842
0.96,0.22312500000000002,0.6375000000000001,0.95625
0.97,0.22082474226804122,0.6309278350515464,0.9463917525773196
0.98,0.21857142857142858,0.6244897959183674,0.9367346938775512
0.99,0.21636363636363634,0.6181818181818182,0.9272727272727272
1.0,0.21419999999999997,0.612,0.9179999999999999
1.01,0.21207920792079207,0.6059405940594059,0.9089108910891088
1.02,0.21,0.6,0.8999999999999999
1.03,0.20796116504854364,0.5941747572815533,0.8912621359223301
1.04,0.20596153846153845,0.5884615384615385,0.8826923076923077
1.05,0.204,0.5828571428571429,0.8742857142857143
1.06,0.20207547169811318,0.5773584905660377,0.8660377358490565
1.07,0.20018691588785045,0.5719626168224299,0.8579439252336448
1.08,0.1983333333333333,0.5666666666666667,0.85
1.09,0.19651376146788987,0.5614678899082568,0.8422018348623852
1.1,0.1947272727272727,0.5563636363636363,0.8345454545454545
1.11,0.19297297297297294,0.5513513513513513,0.8270270270270269
1.12,0.19124999999999998,0.5464285714285714,0.8196428571428571
1.13,0.1895575221238938,0.5415929203539823,0.8123893805309734
1.14,0.18789473684210525,0.5368421052631579,0.8052631578947369
1.15,0.1862608695652174,0.5321739130434783,0.7982608695652174
1.16,0.18465517241379312,0.5275862068965518,0.7913793103448277
1.17,0.18307692307692308,0.5230769230769231,0.7846153846153847
1.18,0.18152542372881356,0.5186440677966102,0.7779661016949153
1.19,0.18000000000000002,0.5142857142857143,0.7714285714285716
1.2,0.1785,0.51,0.765
1.21,0.17702479338842975,0.5057851239669422,0.7586776859504133
1.22,0.17557377049180325,0.5016393442622951,0.7524590163934426
1.23,0.17414634146341462,0.4975609756097561,0.7463414634146341
1.24,0.17274193548387096,0.4935483870967742,0.7403225806451612
1.25,0.17135999999999998,0.4896,0.7343999999999999
1.26,0.16999999999999998,0.4857142857142857,0.7285714285714285
1.27,0.16866141732283463,0.4818897637795275,0.7228346456692913
1.28,0.16734374999999999,0.47812499999999997,0.7171875
1.29,0.16604651162790696,0.47441860465116276,0.7116279069767442
1.3,0.16476923076923075,0.4707692307692307,0.7061538461538461
1.31,0.16351145038167936,0.4671755725190839,0.7007633587786259
1.32,0.16227272727272726,0.4636363636363636,0.6954545454545454
1.33,0.16105263157894734,0.4601503759398496,0.6902255639097744
1.34,0.1598507462686567,0.4567164179104477,0.6850746268656716
1.35,0.15866666666666665,0.4533333333333333,0.6799999999999999
1.36,0.15749999999999997,0.44999999999999996,0.6749999999999999
1.37,0.15635036496350363,0.4467153284671532,0.6700729927007298
1.38,0.15521739130434783,0.44347826086956527,0.6652173913043479
1.39,0.15410071942446044,0.44028776978417267,0.660431654676259
1.4,0.153,0.43714285714285717,0.6557142857142857
1.41,0.15191489361702126,0.4340425531914894,0.6510638297872341
1.42,0.15084507042253523,0.4309859154929578,0.6464788732394366
1.43,0.1497902097902098,0.427972027972028,0.641958041958042
1.44,0.14875,0.425,0.6375
1.45,0.14772413793103448,0.4220689655172414,0.6331034482758621
1.46,0.14671232876712328,0.4191780821917808,0.6287671232876713
1.47,0.1457142857142857,0.4163265306122449,0.6244897959183673
1.48,0.14472972972972972,0.4135135135135135,0.6202702702702703
1.49,0.14375838926174495,0.41073825503355704,0.6161073825503356
1.5,0.14279999999999998,0.408,0.612
1.51,0.14185430463576157,0.4052980132450331,0.6079470198675496
1.52,0.14092105263157892,0.4026315789473684,0.6039473684210526
1.53,0.13999999999999999,0.39999999999999997,0.6
1.54,0.13909090909090907,0.39740259740259737,0.596103896103896
1.55,0.13819354838709677,0.39483870967741935,0.5922580645161291
1.56,0.1373076923076923,0.3923076923076923,0.5884615384615385
1.57,0.13643312101910826,0.3898089171974522,0.5847133757961783
1.58,0.13556962025316452,0.3873417721518987,0.5810126582278481
1.59,0.13471698113207545,0.38490566037735846,0.5773584905660377
1.6,0.13387499999999997,0.38249999999999995,0.57375
1.61,0.13304347826086954,0.38012422360248443,0.5701863354037267
1.62,0.1322222222222222,0.37777777777777777,0.5666666666666667
1.63,0.13141104294478526,0.3754601226993865,0.5631901840490797
1.64,0.13060975609756098,0.37317073170731707,0.5597560975609757
1.65,0.1298181818181818,0.3709090909090909,0.5563636363636364
1.66,0.12903614457831325,0.3686746987951807,0.553012048192771
1.67,0.1282634730538922,0.3664670658682635,0.5497005988023953
1.68,0.12749999999999997,0.36428571428571427,0.5464285714285714
1.69,0.1267455621301775,0.36213017751479293,0.5431952662721894
1.7,0.126,0.36,0.54
1.71,0.12526315789473683,0.35789473684210527,0.5368421052631579
1.72,0.12453488372093022,0.3558139534883721,0.5337209302325581
1.73,0.1238150289017341,0.353757225433526,0.530635838150289
1.74,0.12310344827586206,0.35172413793103446,0.5275862068965517
1.75,0.12239999999999998,0.3497142857142857,0.5245714285714286
1.76,0.12170454545454544,0.3477272727272727,0.5215909090909091
1.77,0.12101694915254237,0.34576271186440677,0.5186440677966102
