case_id,step,strain,stress_mpa,tangent_mpa,branch,loading_direction,stress_state,reversal,in_domain,failed,compression_policy,ultimate_strain,current_R,xi,source,calibration_status,source_location,warnings
COL75X75FC28MPa,19,0.0006333333333333334,126.66666593649612,199999.98501228882,menegotto_pinto_transition,positive,tension,False,True,False,history_dependent,,12.0,0.0,OpenSees Steel02 formulation,synthetic_algorithm_verification_only,Synthetic algorithm-verification parameters; not an NTC 5806 calibration,
COL75X75FC28MPa,20,0.0006666666666666668,133.33333191094744,199999.97226347652,menegotto_pinto_transition,positive,tension,False,True,False,history_dependent,,12.0,0.0,OpenSees Steel02 formulation,synthetic_algorithm_verification_only,Synthetic algorithm-verification parameters; not an NTC 5806 calibration,
COL75X75FC28MPa,21,0.0007,139.99999731787938,199999.95018919423,menegotto_pinto_transition,positive,tension,False,True,False,history_dependent,,12.0,0.0,OpenSees Steel02 formulation,synthetic_algorithm_verification_only,Synthetic algorithm-verification parameters; not an NTC 5806 calibration,
COL75X75FC28MPa,22,0.0007333333333333333,146.66666175620543,199999.91295093266,menegotto_pinto_transition,positive,tension,False,True,False,history_dependent,,12.0,0.0,OpenSees Steel02 formulation,synthetic_algorithm_verification_only,Synthetic algorithm-verification parameters; not an NTC 5806 calibration,
COL75X75FC28MPa,23,0.0007666666666666667,153.33332458169755,199999.85160274926,menegotto_pinto_transition,positive,tension,False,True,False,history_dependent,,12.0,0.0,OpenSees Steel02 formulation,synthetic_algorithm_verification_only,Synthetic algorithm-verification parameters; not an NTC 5806 calibration,
COL75X75FC28MPa,24,0.0008,159.99998478144565,199999.75269863423,menegotto_pinto_transition,positive,tension,False,True,False,history_dependent,,12.0,0.0,OpenSees Steel02 formulation,synthetic_algorithm_verification_only,Synthetic algorithm-verification parameters; not an NTC 5806 calibration,
COL75X75FC28MPa,25,0.0008333333333333334,166.66664079364224,199999.59638119835,menegotto_pinto_transition,positive,tension,False,True,False,history_dependent,,12.0,0.0,OpenSees Steel02 formulation,synthetic_algorithm_verification_only,Synthetic algorithm-verification parameters; not an NTC 5806 calibration,
COL75X75FC28MPa,26,0.0008666666666666667,173.33329025287213,199999.35379405582,menegotto_pinto_transition,positive,tension,False,True,False,history_dependent,,12.0,0.0,OpenSees Steel02 formulation,synthetic_algorithm_verification_only,Synthetic algorithm-verification parameters; not an NTC 5806 calibration,
COL75X75FC28MPa,27,0.0009000000000000001,179.99992963521774,199998.98362221956,menegotto_pinto_transition,positive,tension,False,True,False,history_dependent,,12.0,0.0,OpenSees Steel02 formulation,synthetic_algorithm_verification_only,Synthetic algorithm-verification parameters; not an NTC 5806 calibration,
COL75X75FC28MPa,28,0.0009333333333333333,186.6665537702359,199998.42751976455,menegotto_pinto_transition,positive,tension,False,True,False,history_dependent,,12.0,0.0,OpenSees Steel02 formulation,synthetic_algorithm_verification_only,Synthetic algorithm-verification parameters; not an NTC 5806 calibration,
COL75X75FC28MPa,29,0.0009666666666666667,193.33315517798118,199997.60413105885,menegotto_pinto_transition,positive,tension,False,True,False,history_dependent,,12.0,0.0,OpenSees Steel02 formulation,synthetic_algorithm_verification_only,Synthetic algorithm-verification parameters; not an NTC 5806 calibration,
COL75X75FC28MPa,30,0.001,199.99972317845166,199996.40135005896,menegotto_pinto_transition,positive,tension,False,True,False,history_dependent,,12.0,0.0,OpenSees Steel02 formulation,synthetic_algorithm_verification_only,Synthetic algorithm-verification parameters; not an NTC 5806 calibration,
COL75X75FC28MPa,31,0.0011,219.99904435550806,199988.70631696485,menegotto_pinto_transition,positive,tension,False,True,False,history_dependent,,12.0,0.0,OpenSees Steel02 formulation,synthetic_algorithm_verification_only,Synthetic algorithm-verification parameters; not an NTC 5806 calibration,
