curve_id,curve_name,mode,phi,moment,phi_abs,moment_abs,phi_u_ciclico,Mu_ciclico
positive_bending,V1 (1-2 y 3-4)T,auto,,,,,,
negative_bending,V1 (1-2 y 3-4)T-INV,auto,,,,,,
