curve_id,curve_name,Ke,My,phi_y,Kp,alpha,Mu,phi_u,signed_My,signed_phi_y,signed_Mu,signed_phi_u,M_60My,phi_60My,M_peak,phi_peak,A_real,A_bilinear,relative_error,absolute_relative_error,ductility_phi,status
positive_bending,V2 (1-2 y 3-4)L,66998.91567092582,479.47042183436685,0.007156390771894731,464.7452068572643,0.0069366078869085405,529.257,0.114283,479.47042183436685,0.007156390771894731,529.257,0.114283,287.6822531006201,0.004293834463136838,529.257,0.114283,55.7442491945,55.746413019368134,3.881700622757065e-05,3.881700622757065e-05,15.969362719657964,converged
negative_bending,V2 (1-2 y 3-4)L-INV,64957.7019093913,490.7225165033007,0.007554493186778737,303.69818697970084,0.0046753222181924745,512.134,0.078057,-490.7225165033007,-0.007554493186778737,-512.134,-0.078057,294.4335099019804,0.004532695912067242,512.134,0.078057,37.2056908745,37.2055291474902,-4.346835282327956e-06,4.346835282327956e-06,10.332526361478365,converged
