0.00000000	0.35743376
0.01000000	0.42047457
0.02000000	0.48351537
0.03000000	0.54655617
0.04000000	0.60959698
0.05000000	0.67263778
0.06000000	0.73567858
0.07000000	0.79871939
0.08000000	0.80433936
0.09000000	0.80433936
0.10000000	0.80433936
0.11000000	0.80433936
0.12000000	0.80433936
0.13000000	0.80433936
0.14000000	0.80433936
0.15000000	0.80433936
0.16000000	0.80433936
0.17000000	0.80433936
0.18000000	0.80433936
0.19000000	0.80433936
0.20000000	0.80433936
0.21000000	0.80433936
0.22000000	0.80433936
0.23000000	0.80433936
0.24000000	0.80433936
0.25000000	0.80433936
0.26000000	0.80433936
0.27000000	0.80433936
0.28000000	0.80433936
0.29000000	0.80433936
0.30000000	0.80433936
0.31000000	0.80433936
0.32000000	0.80433936
0.33000000	0.80433936
0.34000000	0.80433936
0.35000000	0.80433936
0.36000000	0.79195568
0.37000000	0.77055147
0.38000000	0.75027380
0.39000000	0.73103601
0.40000000	0.71276011
0.41000000	0.69537572
0.42000000	0.67881915
0.43000000	0.66303266
0.44000000	0.64796374
0.45000000	0.63356454
0.46000000	0.61979140
0.47000000	0.60660435
0.48000000	0.59396676
0.49000000	0.58184499
0.50000000	0.57020809
0.51000000	0.55902754
0.52000000	0.54827701
0.53000000	0.53793216
0.54000000	0.52797045
0.55000000	0.51837099
0.56000000	0.50911437
0.57000000	0.50018254
0.58000000	0.49155870
0.59000000	0.48322719
0.60000000	0.47517341
0.61000000	0.46738368
0.62000000	0.45984523
0.63000000	0.45254610
0.64000000	0.44547507
0.65000000	0.43862161
0.66000000	0.43197583
0.67000000	0.42552843
0.68000000	0.41927065
0.69000000	0.41319427
0.70000000	0.40729149
0.71000000	0.40155499
0.72000000	0.39597784
0.73000000	0.39055349
0.74000000	0.38527574
0.75000000	0.38013873
0.76000000	0.37513690
0.77000000	0.37026499
0.78000000	0.36551801
0.79000000	0.36089120
0.80000000	0.35638006
0.81000000	0.35198030
0.82000000	0.34768786
0.83000000	0.34349885
0.84000000	0.33940958
0.85000000	0.33541652
0.86000000	0.33151633
0.87000000	0.32770580
0.88000000	0.32398187
0.89000000	0.32034162
0.90000000	0.31678227
0.91000000	0.31330115
0.92000000	0.30989570
0.93000000	0.30656349
0.94000000	0.30330218
0.95000000	0.30010952
0.96000000	0.29698338
0.97000000	0.29392170
0.98000000	0.29092249
0.99000000	0.28798388
1.00000000	0.28510404
1.01000000	0.28228123
1.02000000	0.27951377
1.03000000	0.27680004
1.04000000	0.27413850
1.05000000	0.27152766
1.06000000	0.26896608
1.07000000	0.26645238
1.08000000	0.26398523
1.09000000	0.26156334
1.10000000	0.25918550
1.11000000	0.25685049
1.12000000	0.25455718
1.13000000	0.25230446
1.14000000	0.25009127
1.15000000	0.24791656
1.16000000	0.24577935
1.17000000	0.24367867
1.18000000	0.24161360
1.19000000	0.23958323
1.20000000	0.23758670
1.21000000	0.23562318
1.22000000	0.23369184
1.23000000	0.23179191
1.24000000	0.22992262
1.25000000	0.22808324
1.26000000	0.22627305
1.27000000	0.22449137
1.28000000	0.22273754
1.29000000	0.22101089
1.30000000	0.21931080
1.31000000	0.21763668
1.32000000	0.21598791
1.33000000	0.21436394
1.34000000	0.21276421
1.35000000	0.21118818
1.36000000	0.20963533
1.37000000	0.20810514
1.38000000	0.20659713
1.39000000	0.20511082
1.40000000	0.20364575
1.41000000	0.20220145
1.42000000	0.20077750
1.43000000	0.19937346
1.44000000	0.19798892
1.45000000	0.19662348
1.46000000	0.19527674
1.47000000	0.19394833
1.48000000	0.19263787
1.49000000	0.19134500
1.50000000	0.19006936
1.51000000	0.18881063
1.52000000	0.18756845
1.53000000	0.18634251
1.54000000	0.18513250
1.55000000	0.18393809
1.56000000	0.18275900
1.57000000	0.18159493
1.58000000	0.18044560
1.59000000	0.17931072
1.60000000	0.17819003
1.61000000	0.17708326
1.62000000	0.17599015
1.63000000	0.17491046
1.64000000	0.17384393
1.65000000	0.17279033
1.66000000	0.17174942
1.67000000	0.17072099
1.68000000	0.16970479
1.69000000	0.16870062
1.70000000	0.16770826
1.71000000	0.16672751
1.72000000	0.16575817
1.73000000	0.16480003
1.74000000	0.16385290
1.75000000	0.16291660
1.76000000	0.16199093
1.77000000	0.16107573
1.78000000	0.16017081
1.79000000	0.15927600
1.80000000	0.15839114
1.81000000	0.15751605
1.82000000	0.15665057
1.83000000	0.15579456
1.84000000	0.15494785
1.85000000	0.15411029
1.86000000	0.15328174
1.87000000	0.15246206
1.88000000	0.15165109
1.89000000	0.15084870
1.90000000	0.15005476
1.91000000	0.14926913
1.92000000	0.14849169
1.93000000	0.14772230
1.94000000	0.14696085
1.95000000	0.14620720
1.96000000	0.14546125
1.97000000	0.14472287
1.98000000	0.14399194
1.99000000	0.14326836
2.00000000	0.14255202
2.01000000	0.14184281
2.02000000	0.14114062
2.03000000	0.14044534
2.04000000	0.13975688
2.05000000	0.13907514
2.06000000	0.13840002
2.07000000	0.13773142
2.08000000	0.13706925
2.09000000	0.13641342
2.10000000	0.13576383
2.11000000	0.13512040
2.12000000	0.13448304
2.13000000	0.13385166
2.14000000	0.13322619
2.15000000	0.13260653
2.16000000	0.13199261
2.17000000	0.13138435
2.18000000	0.13078167
2.19000000	0.13018450
2.20000000	0.12959275
2.21000000	0.12900636
2.22000000	0.12842525
2.23000000	0.12784935
2.24000000	0.12727859
2.25000000	0.12671291
2.26000000	0.12615223
2.27000000	0.12559650
2.28000000	0.12504563
2.29000000	0.12449958
2.30000000	0.12395828
2.31000000	0.12342166
2.32000000	0.12288967
2.33000000	0.12236225
2.34000000	0.12183934
2.35000000	0.12132087
2.36000000	0.12080680
2.37000000	0.12029707
2.38000000	0.11979162
2.39000000	0.11929040
2.40000000	0.11879335
2.41000000	0.11830043
2.42000000	0.11781159
