curve_id,curve_name,mode,phi,moment,phi_abs,moment_abs,phi_u_ciclico,Mu_ciclico
positive_bending,V2 (C-B)L,auto,,,,,,
negative_bending,V2 (C-B)L-INV,auto,,,,,,
