period_s,Sa_SGC_CCP14_31,Sa_SGC_CCP14_475,Sa_SGC_CCP14_2500
0.0,0.11080058813095094,0.35743376391856246,0.582956075668335
0.01,0.13159536108667003,0.42047456716356835,0.6629309421534635
0.02,0.1523901340423891,0.4835153704085743,0.742905808638592
0.03,0.17318490699810818,0.5465561736535801,0.8228806751237205
0.04,0.19397967995382726,0.609596976898586,0.9028555416088491
0.05,0.21477445290954636,0.672637780143592,0.9828304080939776
0.06,0.2287165403366089,0.7356785833885978,1.0628052745791061
0.07,0.2287165403366089,0.7987193866336038,1.1427801410642346
0.08,0.2287165403366089,0.8043393591776179,1.2227550075493632
0.09,0.2287165403366089,0.8043393591776179,1.2285121047643541
0.1,0.2287165403366089,0.8043393591776179,1.2285121047643541
0.11,0.2287165403366089,0.8043393591776179,1.2285121047643541
0.12,0.2287165403366089,0.8043393591776179,1.2285121047643541
0.13,0.2287165403366089,0.8043393591776179,1.2285121047643541
0.14,0.2287165403366089,0.8043393591776179,1.2285121047643541
0.15,0.2287165403366089,0.8043393591776179,1.2285121047643541
0.16,0.2287165403366089,0.8043393591776179,1.2285121047643541
0.17,0.2287165403366089,0.8043393591776179,1.2285121047643541
0.18,0.2287165403366089,0.8043393591776179,1.2285121047643541
0.19,0.2287165403366089,0.8043393591776179,1.2285121047643541
0.2,0.2287165403366089,0.8043393591776179,1.2285121047643541
0.21,0.2287165403366089,0.8043393591776179,1.2285121047643541
0.22,0.2287165403366089,0.8043393591776179,1.2285121047643541
0.23,0.2287165403366089,0.8043393591776179,1.2285121047643541
0.24,0.2287165403366089,0.8043393591776179,1.2285121047643541
0.25,0.2287165403366089,0.8043393591776179,1.2285121047643541
0.26,0.2287165403366089,0.8043393591776179,1.2285121047643541
0.27,0.2287165403366089,0.8043393591776179,1.2285121047643541
0.28,0.2287165403366089,0.8043393591776179,1.2285121047643541
0.29,0.22360832012932877,0.8043393591776179,1.2285121047643541
0.3,0.21615470945835114,0.8043393591776179,1.2285121047643541
0.31,0.2091819768951785,0.8043393591776179,1.2285121047643541
0.32,0.20264504011720416,0.8043393591776179,1.2285121047643541
0.33,0.19650428132577374,0.8043393591776179,1.2285121047643541
0.34,0.19072474363972156,0.8043393591776179,1.2285121047643541
0.35,0.18527546525001526,0.8043393591776179,1.2285121047643541
0.36,0.18012892454862595,0.7919556805545739,1.2285121047643541
0.37,0.1752605752365009,0.7705514729720179,1.2285121047643541
0.38,0.17064845483554036,0.7502738026306489,1.2285121047643541
0.39,0.16627285342950085,0.7310360128196066,1.2285121047643541
0.4,0.16211603209376332,0.7127601124991164,1.2285121047643541
0.41,0.15816198253050082,0.6953757195113331,1.209333282584782
0.42,0.15439622104167938,0.6788191547610634,1.18053963299943
0.43,0.1508056112500124,0.6630326627898758,1.1530852229296757
0.44,0.1473782109943303,0.6479637386355604,1.126878740590365
0.45,0.14410313963890073,0.6335645444436591,1.101836990799468
0.46,0.14097046269022898,0.6197914021731448,1.07788401273861
0.47,0.13797109114362838,0.6066043510630779,1.0549503103399163
0.48,0.13509669341146946,0.5939667604159304,1.0329721788745012
0.49,0.13233961803572517,0.5818449897951972,1.0118911139995115
0.5,0.12969282567501067,0.5702080899992932,0.9916532917195212
0.51,0.1271498290931477,0.5590275392149933,0.9722091095289424
0.52,0.12470464007212564,0.5482770096147049,0.9535127804995396
0.53,0.12235172233491572,0.5379321603766917,0.935521973320303
0.54,0.12008594969908394,0.5279704537030492,0.9181974923328899
0.55,0.11790256879546424,0.5183709909084483,0.9015029924722919
0.56,0.11579716578125951,0.5091143660707974,0.8854047247495724
0.57,0.11376563655702691,0.5001825350870993,0.8698713085258959
0.58,0.11180416006466438,0.4915586982752528,0.8548735273444149
0.59,0.1099091743008565,0.48322719491465527,0.8403841455250181
0.6,0.10807735472917557,0.47517340833274435,0.826377743099601
0.61,0.10630559481558252,0.4673836803272895,0.8128305669832141
0.62,0.10459098844758925,0.4598452338703977,0.799720396548001
0.63,0.10293081402778624,0.4525461031740422,0.78702642199962
0.64,0.10132252005860208,0.4454750703119478,0.774729134155876
0.65,0.09976371205770052,0.43862160769176395,0.7628102243996316
0.66,0.09825214066288687,0.43197582575704024,0.7512524937269099
0.67,0.09678569080224676,0.4255284253726068,0.7400397699399411
0.68,0.09536237181986078,0.41927065441124495,0.7291568321467067
0.69,0.09398030846015266,0.41319426811542986,0.7185893418257401
0.7,0.09263773262500763,0.407291492856638,0.7083237797996581
0.71,0.09133297582747231,0.4015549929572487,0.6983473885348741
0.72,0.09006446227431297,0.39597784027728694,0.6886481192496675
0.73,0.0888307025171306,0.39055348630088577,0.6792145833695351
0.74,0.08763028761825045,0.38527573648600894,0.6700360079185954
0.75,0.08646188378334045,0.38013872666619547,0.6611021944796808
0.76,0.08532422741777018,0.37513690131532446,0.6524034813944218
0.77,0.08421612056818875,0.37026499350603453,0.64393070890878
0.78,0.08313642671475042,0.3655180064098033,0.635675186999693
0.79,0.08208406688291814,0.36089119620208426,0.6276286656452665
0.8,0.08105801604688166,0.3563800562495582,0.6197833073247008
0.81,0.0800572997993893,0.3519803024686995,0.61213166155526
0.82,0.07908099126525041,0.3476878597556666,0.604666641292391
0.83,0.07812820823795824,0.3434988493971646,0.5973815010358562
0.84,0.07719811052083969,0.3394095773805317,0.590269816499715
0.85,0.07628989745588863,0.335416523528996,0.5833254657173654
0.86,0.0754028056250062,0.3315163313949379,0.5765426114648379
0.87,0.07453610670977624,0.3277057988501685,0.5699156848962765
0.88,0.07368910549716515,0.3239818693177802,0.5634393702951825
0.89,0.07286113801966891,0.32034162359510854,0.5571085908536636
0.9,0.07205156981945036,0.31678227222182953,0.550918495399734
0.91,0.07125979432692894,0.31330114835126,0.5448644459997369
0.92,0.07048523134511449,0.3098957010865724,0.538942006369305
0.93,0.06972732563172616,0.3065634892469318,0.5331469310320006
0.94,0.06898554557181419,0.30330217553153893,0.5274751551699581
0.95,0.06825938193421614,0.3001095210522596,0.5219227851155375
0.96,0.06754834670573473,0.2969833802079652,0.5164860894372506
0.97,0.06685197199742818,0.2939216958759243,0.5111614905770728
0.98,0.06616980901786258,0.2909224948975986,0.5059455569997557
0.99,0.06550142710859125,0.28798388383802687,0.50083499581794
1.0,0.06484641283750534,0.2851040449996466,0.4958266458597606
1.01,0.06420436914604488,0.28228123267291744,0.49091747114827783
1.02,0.06357491454657385,0.27951376960749663,0.4861045547644712
1.03,0.06295768236651003,0.27680004368897726,0.48138509306772875
1.04,0.06235232003606282,0.27413850480735247,0.4767563902497698
1.05,0.061758488416671746,0.2715276619044253,0.472215853199772
1.06,0.06117586116745786,0.26896608018834584,0.4677609866601515
1.07,0.060604124147201247,0.2664523785043426,0.4633893886539818
1.08,0.06004297484954197,0.2639852268515246,0.45909874616644497
1.09,0.05949212186927094,0.261563344036373,0.4548868310640005
1.1,0.05895128439773212,0.25918549545422415,0.45075149623614597
1.11,0.0584201917455003,0.2568504909906726,0.44669067194573026
1.12,0.057898582890629754,0.2545571830353987,0.4427023623747862
1.13,0.05738620605088968,0.25230446460145717,0.4387846423537705
1.14,0.05688281827851346,0.25009126754354966,0.43493565426294795
1.15,0.0563881850760916,0.24791656086925792,0.43115360509544404
1.16,0.05590208003233219,0.2457793491376264,0.42743676367220745
1.17,0.05542428447650029,0.2436786709398689,0.42378345799979544
1.18,0.05495458715042825,0.24161359745732763,0.42019207276250903
1.19,0.05449278389706331,0.23958323109214,0.41666104694097533
1.2,0.054038677364587784,0.23758670416637218,0.4131888715498005
1.21,0.053592076725211026,0.23562317768565835,0.40977408748740546
1.22,0.05315279740779126,0.23369184016364475,0.40641528349160705
1.23,0.05272066084350027,0.2317919065037777,0.40311109419492736
1.24,0.05229549422379463,0.22992261693519886,0.3998601982740005
1.25,0.05187713027000427,0.22808323599971728,0.39666131668780846
1.26,0.05146540701389312,0.2262730515870211,0.39351321099981
1.27,0.05106016758858688,0.22449137401546976,0.3904146817793391
1.28,0.05066126002930104,0.2227375351559739,0.387364567077938
1.29,0.05026853708333747,0.22101088759662527,0.3843617409765586
1.3,0.04988185602885026,0.21931080384588197,0.3814051121998158
1.31,0.04950107850191247,0.2176366755722493,0.37849362279371035
1.32,0.049126070331443436,0.21598791287852012,0.37562624686345497
