return_period_years,PGA,Sa_0_2,Sa_1_0,Fpga,Fa,Fv,As,SDS,SD1,T0,Ts,Sa_at_T_0,Sa_at_T_0_2,Sa_at_T_1_0,units,source
31,0.06925036758184433,0.14294783771038055,0.027019338682293892,1.6,1.6,2.4,0.11080058813095094,0.2287165403366089,0.06484641283750534,0.05670461151788057,0.2835230575894028,0.11080058813095094,0.2287165403366089,0.06484641283750534,"g, s",SGC hazard values with CCP-14 interpolated site factors
475,0.2957822382450104,0.6149011850357056,0.12367282807826996,1.208435523509979,1.3080790519714354,2.30530868768692,0.35743376391856246,0.8043393591776179,0.2851040449996466,0.07089148174749176,0.3544574087374588,0.35743376391856246,0.8043393591776179,0.2851040449996466,"g, s",SGC hazard values with CCP-14 interpolated site factors
2500,0.582956075668335,1.2084081172943115,0.265206515789032,1.0,1.0166367530822753,1.869586968421936,0.582956075668335,1.2285121047643541,0.4958266458597606,0.08071986331056415,0.4035993165528207,0.582956075668335,1.2285121047643541,0.4958266458597606,"g, s",SGC hazard values with CCP-14 interpolated site factors
